# %ECSV 0.9
# ---
# datatype:
# - name: metallicity_solar
#   datatype: float64
# - name: age_Gyr
#   datatype: float64
# - name: F_inc_oplus
#   datatype: float64
# - name: Mass_oplus
#   datatype: float64
# - name: f_env_pc
#   datatype: float64
# - name: R_oplus
#   datatype: float64
# schema: astropy-2.0
metallicity_solar age_Gyr F_inc_oplus Mass_oplus f_env_pc R_oplus
1.0 1.0 10.0 8.5 0.5 2.15
1.0 1.0 10.0 8.5 1.0 2.31
1.0 1.0 10.0 8.5 2.0 2.54
1.0 1.0 10.0 8.5 5.0 3.08
1.0 1.0 10.0 8.5 10.0 3.81
1.0 1.0 10.0 8.5 20.0 5.09
1.0 1.0 10.0 8.5 100.0 15.329999999999997
1.0 1.0 10.0 13.0 0.01 1.97
1.0 1.0 10.0 13.0 0.02 1.98
1.0 1.0 10.0 13.0 0.05 2.01
1.0 1.0 10.0 13.0 0.1 2.04
1.0 1.0 10.0 13.0 0.2 2.15
1.0 1.0 10.0 13.0 0.5 2.29
1.0 1.0 10.0 13.0 1.0 2.44
1.0 1.0 10.0 13.0 2.0 2.67
1.0 1.0 10.0 13.0 5.0 3.18
1.0 1.0 10.0 13.0 10.0 3.86
1.0 1.0 10.0 13.0 20.0 5.02
1.0 1.0 10.0 13.0 100.0 14.299999999999994
1.0 1.0 10.0 20.0 0.01 2.15
1.0 1.0 10.0 20.0 0.02 2.16
1.0 1.0 10.0 20.0 0.05 2.18
1.0 1.0 10.0 20.0 0.1 2.22
1.0 1.0 10.0 20.0 0.2 2.32
1.0 1.0 10.0 20.0 0.5 2.45
